team1,team2,outcome,sd
BEL,CRO,-0.12520000000000003,1.4482210095940826
COL,CRO,-0.3757,1.517337295485046
KSA,NGA,0.023533333333333312,1.9249132991085174
EGY,NGA,-0.7724666666666667,1.7514805023529285
ESP,NGA,0.8930666666666667,1.9342060707240656
MAR,NGA,-0.5748666666666666,1.7154132124427894
IRN,NGA,0.03673333333333334,1.8742850179888102
FRA,NGA,0.9341999999999997,1.8766547137708431
AUS,NGA,-0.1465666666666667,1.8794970981667856
DEN,NGA,0.7522666666666666,1.9774329064665965
ARG,NGA,1.2793666666666668,2.099458195579404
ISL,NGA,-1.0386333333333337,2.126698103132166
CRO,NGA,0.9085333333333331,1.9487520811514296
BRA,NGA,1.028,1.957394216188571
CRC,NGA,-0.11439999999999999,1.9517579604166797
GER,NGA,1.1933000000000002,2.2212151161184357
MEX,NGA,0.3886,1.8153376936217038
KOR,NGA,0.23430000000000004,1.9835354525034918
BEL,NGA,0.6196333333333333,1.8700529866858564
ENG,NGA,1.4805333333333346,2.416790231102695
COL,NGA,0.3698000000000001,1.885987413455905
JPN,NGA,-0.26873333333333327,1.8849809405648073
AUS,BRA,-1.2467666666666666,1.6964595308700292
ARG,BRA,0.19276666666666667,1.418973684813055
BEL,BRA,-0.31946666666666657,1.4669748051848004
RUS,SUI,0.21930000000000002,1.6000724554263526
KSA,SUI,-0.9878666666666663,2.0887374142647217
EGY,SUI,-1.513733333333333,1.9604402120399642
POR,SUI,0.34190000000000004,1.864118002843091
ESP,SUI,1.0783999999999998,2.3882230942658724
MAR,SUI,-1.1531666666666665,1.7040802263169237
IRN,SUI,-0.5761666666666667,1.8945280563893019
FRA,SUI,0.3943999999999999,1.5841464269524692
AUS,SUI,-1.0577,1.8473208253567996
PER,SUI,-1.4198333333333337,1.5637665118646968
DEN,SUI,-0.481833333333333,1.4313211066076126
ARG,SUI,1.0060333333333336,1.9640049521361043
ISL,SUI,-1.084466666666667,1.9275215678026132
CRO,SUI,-0.1489666666666667,1.6213871126306254
NGA,SUI,-1.1098666666666661,1.808978443891849
BRA,SUI,0.5122333333333337,1.920036047161708
CRC,SUI,-1.0324666666666666,1.880154926413474
SRB,SUI,-0.4178333333333335,1.577322477476137
GER,SUI,0.8958333333333334,2.2030511814083433
MEX,SUI,-0.4106666666666669,1.962515744447805
KOR,SUI,-0.6087333333333335,1.9940641584915983
BEL,SUI,0.06280000000000002,1.7219073665115037
PAN,SUI,-0.9624999999999997,1.8317394161225975
ENG,SUI,0.8716000000000002,2.0790319244883273
POL,SUI,-0.5363333333333331,1.6096554784475994
SEN,SUI,-1.1919666666666664,1.7599993987342346
COL,SUI,-0.6008666666666667,1.4612981405662417
JPN,SUI,-1.0765666666666667,1.9943469123980815
AUS,CRC,-0.10243333333333321,2.1445332079042405
ARG,CRC,1.5401666666666671,2.1446485353633187
BRA,CRC,1.244733333333333,1.9720805197776043
BEL,CRC,0.7911666666666665,1.9145641440608479
